filepath, filename, statement coverage %, total statements, branch coverage %, total branches
./lib/careadlinkat.gcda, 'careadlinkat.c', 0.00, 43, 0.00, 28
./lib/xasprintf.gcda, 'xasprintf.c', 100.00, 7, 0.00, 0.00
./lib/getprogname.gcda, 'getprogname.c', 100.00, 2, 0.00, 0.00
./lib/cmpbuf.gcda, 'cmpbuf.c', 84.62, 26, 75.00, 24
./lib/xalloc-die.gcda, 'xalloc-die.c', 0.00, 3, 0.00, 0.00
./lib/gettime.gcda, 'gettime.c', 0.00, 7, 0.00, 0.00
./lib/trim.gcda, 'trim.c', 0.00, 41, 0.00, 60
./lib/c-stack.gcda, 'c-stack.c', 19.05, 42, 25.00, 16
./lib/mbchar.gcda, 'mbchar.h', 0.00, 15, 0.00, 6
./lib/exclude.gcda, 'exclude.c', 0.82, 243, 0.00, 155
./lib/striconv.gcda, 'striconv.c', 0.00, 140, 0.00, 68
./lib/filenamecat.gcda, 'filenamecat.c', 0.00, 5, 0.00, 2
./lib/hard-locale.gcda, 'hard-locale.c', 0.00, 4, 0.00, 6
./lib/file-type.gcda, 'file-type.c', 0.00, 31, 0.00, 16
./lib/c-strcasecmp.gcda, 'c-strcasecmp.c', 0.00, 14, 0.00, 10
./lib/c-strcasecmp.gcda, 'c-ctype.h', 0.00, 4, 0.00, 4
./lib/xstriconv.gcda, 'xstriconv.c', 0.00, 15, 0.00, 12
./lib/setlocale_null.gcda, 'setlocale_null.c', 0.00, 21, 0.00, 8
./lib/stackvma.gcda, 'stackvma.c', 51.82, 220, 63.33, 120
./lib/hash.gcda, 'hash.c', 0.00, 343, 0.00, 194
./lib/hash.gcda, 'bitrotate.h', 0.00, 2, 0.00, 0.00
./lib/quotearg.gcda, 'quotearg.c', 0.00, 387, 0.00, 322
./lib/quotearg.gcda, 'xalloc.h', 0.00, 2, 0.00, 0.00
./lib/quotearg.gcda, 'c-strcaseeq.h', 0.00, 38, 0.00, 56
./lib/quotearg.gcda, 'c-ctype.h', 0.00, 3, 0.00, 20
./lib/strnlen1.gcda, 'strnlen1.c', 0.00, 4, 0.00, 2
./lib/regex.gcda, 'regexec.c', 0.00, 1520, 0.00, 1268
./lib/regex.gcda, 'regex_internal.h', 0.00, 35, 0.00, 48
./lib/regex.gcda, 'regcomp.c', 0.29, 1369, 0.00, 1020
./lib/regex.gcda, 'regex_internal.c', 0.00, 817, 0.00, 628
./lib/regex.gcda, 'malloc/dynarray-skeleton.c', 0.00, 34, 0.00, 18
./lib/regex.gcda, 'malloc/dynarray.h', 0.00, 2, 0.00, 0.00
./lib/time_rz.gcda, 'time.h', 0.00, 4, 0.00, 10
./lib/time_rz.gcda, 'time_rz.c', 0.00, 98, 0.00, 88
./lib/mbrtowc.gcda, 'wchar.h', 0.00, 1, 0.00, 2
./lib/mbrtowc.gcda, 'mbrtowc.c', 0.00, 9, 0.00, 6
./lib/xreadlink.gcda, 'xreadlink.c', 0.00, 5, 0.00, 4
./lib/propername.gcda, 'propername.c', 0.00, 114, 0.00, 94
./lib/basename-lgpl.gcda, 'basename-lgpl.c', 0.00, 20, 0.00, 12
./lib/fcntl.gcda, 'fcntl.c', 23.53, 51, 27.27, 22
./lib/mbslen.gcda, 'string.h', 0.00, 1, 0.00, 0.00
./lib/mbslen.gcda, 'mbslen.c', 0.00, 8, 0.00, 6
./lib/version-etc.gcda, 'version-etc.c', 0.00, 58, 0.00, 23
./lib/progname.gcda, 'progname.c', 62.50, 16, 60.00, 10
./lib/malloca.gcda, 'malloca.c', 0.00, 19, 0.00, 8
./lib/xmalloca.gcda, 'xmalloca.c', 0.00, 6, 0.00, 2
./lib/mbsstr.gcda, 'string.h', 0.00, 1, 0.00, 0.00
./lib/mbsstr.gcda, 'mbsstr.c', 0.00, 137, 0.00, 134
./lib/mbsstr.gcda, 'str-kmp.h', 0.00, 39, 0.00, 20
./lib/areadlink.gcda, 'areadlink.c', 0.00, 6, 0.00, 4
./lib/xvasprintf.gcda, 'xvasprintf.c', 22.50, 40, 33.33, 18
./lib/xvasprintf.gcda, 'xsize.h', 0.00, 3, 0.00, 2
./lib/localcharset.gcda, 'localcharset.c', 0.00, 8, 0.00, 4
./lib/free.gcda, 'stdlib.h', 100.00, 1, 0.00, 0.00
./lib/free.gcda, 'free.c', 100.00, 7, 0.00, 0.00
./lib/filenamecat-lgpl.gcda, 'filenamecat-lgpl.c', 0.00, 22, 0.00, 14
./lib/sh-quote.gcda, 'sh-quote.c', 0.00, 31, 0.00, 12
./lib/xstdopen.gcda, 'xstdopen.c', 80.00, 5, 100.00, 2
./lib/stdopen.gcda, 'stdopen.c', 33.33, 12, 28.57, 14
./lib/xmalloc.gcda, 'xmalloc.c', 15.58, 77, 7.89, 76
./lib/xmalloc.gcda, 'ialloc.h', 0.00, 13, 0.00, 14
./lib/xmalloc.gcda, 'xalloc.h', 0.00, 6, 0.00, 2
./lib/sigsegv.gcda, 'sigsegv.c', 51.52, 99, 26.32, 38
./lib/mbscasecmp.gcda, 'string.h', 0.00, 1, 0.00, 2
./lib/mbscasecmp.gcda, 'mbscasecmp.c', 0.00, 25, 0.00, 44
./lib/nstrftime.gcda, 'nstrftime.c', 0.00, 412, 0.00, 393
./lib/malloc/dynarray_resize.gcda, 'malloc/dynarray_resize.c', 0.00, 19, 0.00, 12
./src/context.gcda, 'context.c', 0.00, 229, 0.00, 184
./src/context.gcda, '../lib/c-ctype.h', 0.00, 2, 0.00, 4
./src/context.gcda, '../lib/stat-time.h', 0.00, 2, 0.00, 2
./src/analyze.gcda, 'analyze.c', 71.38, 304, 81.00, 221
./src/analyze.gcda, '../lib/diffseq.h', 7.41, 189, 8.33, 120
./src/io.gcda, 'io.c', 72.91, 358, 76.23, 244
./src/io.gcda, '../lib/binary-io.h', 100.00, 4, 0.00, 0.00
./src/diff.gcda, 'diff.c', 26.42, 583, 28.52, 533
./src/dir.gcda, 'dir.c', 0.00, 103, 0.00, 102
./src/side.gcda, 'side.c', 0.00, 147, 0.00, 129
./src/ifdef.gcda, 'ifdef.c', 0.00, 177, 0.00, 158
./src/util.gcda, 'util.c', 22.21, 662, 24.40, 418
./src/normal.gcda, 'normal.c', 96.88, 32, 100.00, 24
./src/ed.gcda, 'ed.c', 0.00, 62, 0.00, 40
directory, /home/ubuntu/configuration-fuzzer/afl-targets/diffutils
total_no_of_statements, 9667
total_statement_coverage_%, 15.34%
total_no_of_branches, 7382
total_branch_coverage_%, 9.45%
